Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Gender,Name,City,State Code,State,Zip Code,Country,Continent,Birthday,Age,AgeGroup,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category,Gender_enc,City_enc,State_enc,Country_enc,Continent_enc,Cluster
366007,1,2016-01-01,,2035771,43,1617,1,USD,Female,Damiana Corona,Winchester,VA,Virginia,22601,United States,North America,1944-10-30,81,65+,Contoso DVD Player M110 Silver,Contoso,Silver,$26.67 ,57.99,602,Movie DVD,6,"Music, Movies and Audio Books",0,6451,447,7,2,2
366009,1,2016-01-01,,254540,9,1648,1,CAD,Female,Hazel Skiles,Peterborough,ON,Ontario,K9H 2L1,Canada,North America,1988-06-10,37,36-45,Contoso DVD 7-Inch Player Portable E200 Black,Contoso,Black,$56.08 ,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",0,4586,305,1,2,3
366011,2,2016-01-01,,1984985,66,1638,1,USD,Male,Mike Mogensen,Chicago,IL,Illinois,60605,United States,North America,1937-06-10,88,65+,Contoso DVD 58 DVD Storage Binder M55 Red,Contoso,Red,$6.39 ,13.89,602,Movie DVD,6,"Music, Movies and Audio Books",1,1377,190,7,2,0
366011,3,2016-01-01,,1984985,66,1634,1,USD,Male,Mike Mogensen,Chicago,IL,Illinois,60605,United States,North America,1937-06-10,88,65+,Contoso DVD 38 DVD Storage Binder E25 Silver,Contoso,Silver,$5.09 ,9.99,602,Movie DVD,6,"Music, Movies and Audio Books",1,1377,190,7,2,0
366012,2,2016-01-01,,1977527,65,1594,4,USD,Female,Rebecca Koch,Austin,TX,Texas,78756,United States,North America,1988-04-18,37,36-45,SV DVD 38 DVD Storage Binder E25 Red,Southridge Video,Red,$5.09 ,9.99,602,Movie DVD,6,"Music, Movies and Audio Books",0,281,424,7,2,0
366013,1,2016-01-01,,1187306,41,1654,5,GBP,Male,Max Norris,DRUMWHINDLE,Aberdeenshire,Aberdeenshire,AB41 2RT,United Kingdom,Europe,1977-06-11,48,46-55,Contoso DVD 14-Inch Player Portable L100 Silver,Contoso,Silver,$86.14 ,259.99,602,Movie DVD,6,"Music, Movies and Audio Books",1,1590,1,6,1,3
367004,2,2016-01-02,,1853699,56,1637,4,USD,Female,Young Hudson,Chandler,OK,Oklahoma,74834,United States,North America,1956-08-17,69,65+,Contoso DVD 48 DVD Storage Binder M50 Red,Contoso,Red,$8.27 ,17.99,602,Movie DVD,6,"Music, Movies and Audio Books",0,1352,304,7,2,0
367005,6,2016-01-02,1/10/2016,758280,0,1597,7,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,32,26-35,SV DVD External DVD Burner M200 Black,Southridge Video,Black,$26.62 ,57.88,602,Movie DVD,6,"Music, Movies and Audio Books",1,5858,159,4,1,3
367012,1,2016-01-02,,209990,9,1653,5,CAD,Male,Brandon Loyd,Norwich,ON,Ontario,N0J 1P0,Canada,North America,1975-12-23,50,46-55,Contoso DVD 7-Inch Player Portable E200 Silver,Contoso,Silver,$56.08 ,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",1,4225,305,1,2,3
367019,2,2016-01-02,,793573,29,1645,7,EUR,Male,Paolo Li Fonti,Sant'Agata Mugello,FI,Firenze,50030,Italy,Europe,1955-12-30,70,65+,Contoso DVD External DVD Burner M200 Silver,Contoso,Silver,$26.62 ,57.88,602,Movie DVD,6,"Music, Movies and Audio Books",1,5309,142,4,1,3
367021,2,2016-01-02,,243917,10,1624,6,CAD,Female,Summer Brown,Toronto,ON,Ontario,M5T 1T4,Canada,North America,1983-02-07,42,36-45,Contoso DVD Recorder L220 White,Contoso,White,$72.56 ,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",0,5918,305,1,2,3
367021,3,2016-01-02,,243917,10,1615,2,CAD,Female,Summer Brown,Toronto,ON,Ontario,M5T 1T4,Canada,North America,1983-02-07,42,36-45,SV DVD 15-Inch Player Portable L200 White,Southridge Video,White,$96.08 ,289.99,602,Movie DVD,6,"Music, Movies and Audio Books",0,5918,305,1,2,3
367022,1,2016-01-02,,942807,42,1596,1,GBP,Male,Morgan Kennedy,WOODMANCOTE,Cotswold,Cotswold,GL7 4DB,United Kingdom,Europe,1956-04-21,69,65+,SV DVD 55DVD Storage Binder M56 Red,Southridge Video,Red,$5.82 ,12.66,602,Movie DVD,6,"Music, Movies and Audio Books",1,6258,104,6,1,3
367025,1,2016-01-02,,1736623,56,1608,1,USD,Female,Ellen Jamison,Detroit,MI,Michigan,48226,United States,North America,1965-01-14,60,56-65,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,$56.08 ,109.99,602,Movie DVD,6,"Music, Movies and Audio Books",0,1671,246,7,2,0
367025,2,2016-01-02,,1736623,56,1641,2,USD,Female,Ellen Jamison,Detroit,MI,Michigan,48226,United States,North America,1965-01-14,60,56-65,Contoso DVD 55DVD Storage Binder M56 Red,Contoso,Red,$5.82 ,12.66,602,Movie DVD,6,"Music, Movies and Audio Books",0,1671,246,7,2,0
367025,3,2016-01-02,,1736623,56,1574,3,USD,Female,Ellen Jamison,Detroit,MI,Michigan,48226,United States,North America,1965-01-14,60,56-65,SV DVD Player M130 Grey,Southridge Video,Grey,$27.59 ,59.99,602,Movie DVD,6,"Music, Movies and Audio Books",0,1671,246,7,2,0
367027,2,2016-01-02,,1482586,53,1645,1,USD,Female,Edna Gilmer,Cleburne,TX,Texas,76031,United States,North America,1948-12-18,77,65+,Contoso DVD External DVD Burner M200 Silver,Contoso,Silver,$26.62 ,57.88,602,Movie DVD,6,"Music, Movies and Audio Books",0,1413,424,7,2,0
367029,1,2016-01-02,,1260533,66,1607,1,USD,Female,Laura Echevarria,Asheboro,NC,North Carolina,27203,United States,North America,1996-11-05,29,26-35,SV DVD 12-Inch Player Portable M400 Silver,Southridge Video,Silver,$82.77 ,179.99,602,Movie DVD,6,"Music, Movies and Audio Books",0,253,284,7,2,0
368001,1,2016-01-03,,1670789,64,1598,3,USD,Male,David Hamlin,Salinas,CA,California,93901,United States,North America,1960-12-10,65,65+,SV DVD External DVD Burner M200 Grey,Southridge Video,Grey,$26.62 ,57.88,602,Movie DVD,6,"Music, Movies and Audio Books",1,5253,69,7,2,2
369001,2,2016-01-04,,269337,8,1649,4,CAD,Male,Eddie Morejon,Rollet,QC,Quebec,J0Z 3J0,Canada,North America,1995-10-24,30,26-35,Contoso DVD 14-Inch Player Portable L100 Black,Contoso,Black,$86.14 ,259.99,602,Movie DVD,6,"Music, Movies and Audio Books",1,4971,335,1,2,3
