Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Gender,Name,City,State Code,State,Zip Code,Country,Continent,Birthday,Age,AgeGroup,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category,Gender_enc,City_enc,State_enc,Country_enc,Continent_enc,Cluster
366004,2,2016-01-01,,1107461,38,1529,2,GBP,Male,Sam Nelson,BURSCOUGH BRIDGE,West Lancashire,West Lancashire,L40 8UX,United Kingdom,Europe,1979-11-28,46,46-55,The Phone Company PDA Handheld 3.5 inch M610 Black,The Phone Company,Black,$117.27 ,255.0,504,Smart phones & PDAs,5,Cell phones,1,548,463,6,1,1
366008,2,2016-01-01,,759705,29,2510,1,EUR,Male,Callisto Lo Duca,Casilli,,Napoli,80047,Italy,Europe,1976-08-28,49,46-55,Contoso Original K1m Li-Ion Standard Battery E170 White,Contoso,White,$2.07 ,4.06,505,Cell phones Accessories,5,Cell phones,1,1300,262,4,1,1
367005,4,2016-01-02,1/10/2016,758280,0,2511,9,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,32,26-35,Contoso Original K1m Li-Ion Standard Battery E170 Silver,Contoso,Silver,$2.07 ,4.06,505,Cell phones Accessories,5,Cell phones,1,5858,159,4,1,1
367007,2,2016-01-02,,1730985,57,1432,9,USD,Female,Ethel Wong,Brattleboro,VT,Vermont,5301,United States,North America,1987-08-31,38,36-45,The Phone Company Touch Screen Phones Infrared M901 Grey,The Phone Company,Grey,$137.96 ,300.0,503,Touch Screen Phones,5,Cell phones,0,871,442,7,2,2
367009,3,2016-01-02,,1512558,57,1436,5,USD,Female,Kimberly Walden,West Roxbury,MA,Massachusetts,2132,United States,North America,1968-12-04,57,56-65,The Phone Company Touch Screen Phones 5-Wire/On-wall M508 Grey,The Phone Company,Grey,$118.65 ,258.0,503,Touch Screen Phones,5,Cell phones,0,6390,237,7,2,2
367009,4,2016-01-02,,1512558,57,1547,3,USD,Female,Kimberly Walden,West Roxbury,MA,Massachusetts,2132,United States,North America,1968-12-04,57,56-65,The Phone Company PDA Handheld 3.5 inch M610 Silver,The Phone Company,Silver,$117.27 ,255.0,504,Smart phones & PDAs,5,Cell phones,0,6390,237,7,2,2
367016,1,2016-01-02,,1633409,63,1487,1,USD,Male,Paul Burt,Dearborn,MI,Michigan,48126,United States,North America,1942-01-04,83,65+,The Phone Company Smart phones Unlocked M300 Grey,The Phone Company,Grey,$122.78 ,267.0,504,Smart phones & PDAs,5,Cell phones,1,1641,246,7,2,3
367021,1,2016-01-02,,243917,10,1445,4,CAD,Female,Summer Brown,Toronto,ON,Ontario,M5T 1T4,Canada,North America,1983-02-07,42,36-45,"The Phone Company Touch Screen Phones 26-1.4"" M250 Gold",The Phone Company,Gold,$123.24 ,268.0,503,Touch Screen Phones,5,Cell phones,0,5918,305,1,2,0
368000,1,2016-01-03,,892838,32,1440,1,EUR,Male,Ariën van Aggelen,Bussum,NH,Noord-Holland,1405 BT,Netherlands,Europe,1953-09-30,72,65+,The Phone Company Touch Screen Phones - CRT M11 Grey,The Phone Company,Grey,$86.91 ,189.0,503,Touch Screen Phones,5,Cell phones,1,965,279,5,1,3
369007,1,2016-01-04,,571622,20,2510,3,EUR,Male,Sven Schulze,Birkenwerder,BB,Brandenburg,16547,Germany,Europe,1986-02-08,39,36-45,Contoso Original K1m Li-Ion Standard Battery E170 White,Contoso,White,$2.07 ,4.06,505,Cell phones Accessories,5,Cell phones,1,776,51,3,1,1
369012,1,2016-01-04,1/13/2016,1696695,0,1423,3,USD,Male,Virgil Rowland,Akron,OH,Ohio,44311,United States,North America,2001-10-07,24,18-25,The Phone Company Touch Screen Phones - CRT M11 Black,The Phone Company,Black,$86.91 ,189.0,503,Touch Screen Phones,5,Cell phones,1,140,303,7,2,1
370000,1,2016-01-05,,2032025,51,1360,4,USD,Female,Michalina Wieczorek,Morehead,KY,Kentucky,40351,United States,North America,1968-04-17,57,56-65,Contoso In front of Centrex L15 White,Contoso,White,$15.57 ,46.99,501,Home & Office Phones,5,Cell phones,0,3944,202,7,2,2
370001,3,2016-01-05,,1884908,61,1544,7,USD,Male,Eric Ellis,Lock Haven,PA,Pennsylvania,17745,United States,North America,1953-12-03,72,65+,The Phone Company PDA Phone Unlocked 3.7 inches M510 Silver,The Phone Company,Silver,$109.45 ,238.0,504,Smart phones & PDAs,5,Cell phones,1,3475,317,7,2,3
370003,2,2016-01-05,,2092033,66,1529,3,USD,Male,Mathew Forbes,Anniston,AL,Alabama,36201,United States,North America,1995-10-07,30,26-35,The Phone Company PDA Handheld 3.5 inch M610 Black,The Phone Company,Black,$117.27 ,255.0,504,Smart phones & PDAs,5,Cell phones,1,214,3,7,2,1
371010,1,2016-01-06,,1716584,53,2491,5,USD,Male,Bill Smith,Hickory Hills,IL,Illinois,60457,United States,North America,1976-09-08,49,46-55,Cigarette Lighter Adapter for Contoso Phones E110 Black,Contoso,Black,$12.74 ,24.99,505,Cell phones Accessories,5,Cell phones,1,2746,190,7,2,1
371015,4,2016-01-06,1/14/2016,1669745,0,1458,4,USD,Male,James Anderson,Tallahassee,FL,Florida,32303,United States,North America,1961-09-09,64,56-65,The Phone Company Touch Screen Phones - LCD M12 Gold,The Phone Company,Gold,$91.97 ,200.0,503,Touch Screen Phones,5,Cell phones,1,5843,145,7,2,3
371018,4,2016-01-06,,1041466,36,2496,1,GBP,Male,Harvey Lee,ASHBY DE LA ZOUCH,Leicester,Leicester,LE65 3NF,United Kingdom,Europe,1968-05-19,57,56-65,Headphone Adapter for Contoso Phone E130 Silver,Contoso,Silver,$5.09 ,9.99,505,Cell phones Accessories,5,Cell phones,1,80,216,6,1,1
371018,6,2016-01-06,,1041466,36,1333,2,GBP,Male,Harvey Lee,ASHBY DE LA ZOUCH,Leicester,Leicester,LE65 3NF,United Kingdom,Europe,1968-05-19,57,56-65,Contoso 4-Line Corded Cordless Telephone M203 Black,Contoso,Black,$15.17 ,32.99,501,Home & Office Phones,5,Cell phones,1,80,216,6,1,1
371019,1,2016-01-06,,916074,41,2506,2,GBP,Female,Hollie Lee,SPRINGSIDE,North Ayrshire,North Ayrshire,KA11 0JT,United Kingdom,Europe,1939-08-14,86,65+,Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 Pink,Contoso,Pink,$2.42 ,4.74,505,Cell phones Accessories,5,Cell phones,0,5158,283,6,1,2
372012,2,2016-01-07,,195521,6,1560,6,AUD,Male,Mitchell Saville,DURACK,WA,Western Australia,6743,Australia,Australia,1977-05-24,48,46-55,The Phone Company PDA Phone 3.7 inches M340 White,The Phone Company,White,$151.76 ,330.0,504,Smart phones & PDAs,5,Cell phones,1,1606,469,0,0,0
373000,1,2016-01-08,1/14/2016,1367439,0,2509,3,USD,Female,Tammy Overall,Escondido,CA,California,92025,United States,North America,1999-05-27,26,26-35,Contoso Original K1m Li-Ion Standard Battery E170 Black,Contoso,Black,$2.07 ,4.06,505,Cell phones Accessories,5,Cell phones,0,1948,69,7,2,2
373007,2,2016-01-08,1/14/2016,351747,0,1455,5,CAD,Female,Irene Lee,Toronto,ON,Ontario,M4W 1J7,Canada,North America,1986-11-05,39,36-45,The Phone Company Pen Touch Screen Phones M320 Gold,The Phone Company,Gold,$133.36 ,290.0,503,Touch Screen Phones,5,Cell phones,0,5918,305,1,2,0
373010,1,2016-01-08,,538801,27,2492,6,EUR,Female,Christine Kluge,Staßfurt,ST,Sachsen-Anhalt,39410,Germany,Europe,2000-10-25,25,26-35,Cigarette Lighter Adapter for Contoso Phones E110 White,Contoso,White,$12.74 ,24.99,505,Cell phones Accessories,5,Cell phones,0,5600,362,3,1,0
374001,1,2016-01-09,,2050933,47,1429,1,USD,Female,Veronika Lovric,Joseph City,AZ,Arizona,86032,United States,North America,1959-04-10,66,65+,The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Grey,The Phone Company,Grey,$132.90 ,289.0,503,Touch Screen Phones,5,Cell phones,0,2937,17,7,2,2
375000,3,2016-01-10,1/18/2016,1084570,0,2515,1,GBP,Male,Leon Harper,WADDINGHAM,West Lindsey,West Lindsey,DN21 1YS,United Kingdom,Europe,1997-09-19,28,26-35,Contoso In-Line Coupler E180 White,Contoso,White,$1.71 ,3.35,505,Cell phones Accessories,5,Cell phones,1,6129,464,6,1,1
