Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Gender,Name,City,State Code,State,Zip Code,Country,Continent,Birthday,Age,AgeGroup,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category,Gender_enc,City_enc,State_enc,Country_enc,Continent_enc,Cluster
366001,2,2016-01-01,1/13/2016,1269051,0,2007,1,USD,Male,Frank Upchurch,Auberry,CA,California,93602,United States,North America,1995-11-20,30,26-35,Fabrikam Microwave 1.5CuFt X1100 Black,Fabrikam,Black,$220.64 ,665.94,803,Microwaves,8,Home Appliances,1,268,69,7,2,2
366011,4,2016-01-01,,1984985,66,2392,3,USD,Male,Mike Mogensen,Chicago,IL,Illinois,60605,United States,North America,1937-06-10,88,65+,Proseware Air conditioner 10000BTU M490 Red,Proseware,Red,$197.74 ,429.99,807,Air Conditioners,8,Home Appliances,1,1377,190,7,2,2
367006,1,2016-01-02,,693285,18,2445,3,EUR,Female,Solaine Lanoie,DZAOUDZI,MY,Mayotte,97610,France,Europe,1978-11-20,47,46-55,Litware 80mm Dual Ball Bearing Case Fan E1001 Green,Litware,Green,$2.54 ,4.99,808,Fans,8,Home Appliances,0,1611,239,2,1,0
367008,1,2016-01-02,,763246,28,1951,3,EUR,Male,Remigio Romano,San Zenone Al Lambro,MI,Milano,20070,Italy,Europe,1942-07-17,83,65+,Litware Refrigerator 24.7CuFt X980 Silver,Litware,Silver,"$1,060.22 ",3199.99,802,Refrigerators,8,Home Appliances,1,5301,252,4,1,1
367015,1,2016-01-02,,911025,42,2296,7,GBP,Female,Amber Jordan,SMELTHOUSES,Harrogate,Harrogate,HG3 2BH,United Kingdom,Europe,1960-09-30,65,65+,Proseware Chandelier M0815 Grey,Proseware,Grey,$123.47 ,268.5,806,Lamps,8,Home Appliances,0,5120,177,6,1,0
367018,2,2016-01-02,,1301565,59,1973,4,USD,Male,Daniel Spencer,Los Angeles,CA,California,90017,United States,North America,1980-06-23,45,46-55,Litware Refrigerator 3.2CuFt E160 Grey,Litware,Grey,$142.75 ,279.99,802,Refrigerators,8,Home Appliances,1,3501,69,7,2,2
367019,1,2016-01-02,,793573,29,1947,2,EUR,Male,Paolo Li Fonti,Sant'Agata Mugello,FI,Firenze,50030,Italy,Europe,1955-12-30,70,65+,Litware Refrigerator 9.7CuFt M560 Brown,Litware,Brown,$226.71 ,493.0,802,Refrigerators,8,Home Appliances,1,5309,142,4,1,0
367020,2,2016-01-02,,799366,29,1975,1,EUR,Male,Berardo Onio,San Biagio In Padule,MO,Modena,41038,Italy,Europe,1944-10-21,81,65+,Litware Refrigerator L1200 Orange,Litware,Orange,"$1,060.22 ",3199.99,802,Refrigerators,8,Home Appliances,1,5267,257,4,1,1
367024,2,2016-01-02,,1713253,50,2105,5,USD,Male,Tom David,Gainesville,FL,Florida,32601,United States,North America,1989-06-09,36,36-45,Contoso Water Heater 7.2GPM X1800 Grey,Contoso,Grey,$488.70 ,1475.0,804,Water Heaters,8,Home Appliances,1,2317,145,7,2,1
367026,1,2016-01-02,,1836599,53,2218,2,USD,Male,Jonathan Johnson,Miami,FL,Florida,33128,United States,North America,2001-04-10,24,18-25,Adventure Works Wall Lamp E2150 Grey,Adventure Works,Grey,$61.17 ,119.99,806,Lamps,8,Home Appliances,1,3849,145,7,2,2
367027,1,2016-01-02,,1482586,53,2451,3,USD,Female,Edna Gilmer,Cleburne,TX,Texas,76031,United States,North America,1948-12-18,77,65+,Litware Desktop Wind Tower Oscillating Fan E1201 Brown,Litware,Brown,$15.29 ,29.99,808,Fans,8,Home Appliances,0,1413,424,7,2,2
367028,2,2016-01-02,1/11/2016,607356,0,2017,3,EUR,Female,Fanette Michaud,AURILLAC,AU,Auvergne,15000,France,Europe,1989-07-06,36,36-45,Fabrikam Microwave 0.9CuFt E0900 Blue,Fabrikam,Blue,$50.98 ,99.99,803,Microwaves,8,Home Appliances,0,106,25,2,1,0
367030,1,2016-01-02,,1843882,51,2010,7,USD,Female,Gloria Stewart,Westland,MI,Michigan,48185,United States,North America,1973-10-13,52,46-55,Fabrikam Microwave 1.0CuFt E1100 Black,Fabrikam,Black,$71.37 ,139.99,803,Microwaves,8,Home Appliances,0,6401,246,7,2,2
369000,1,2016-01-04,,1143828,37,2167,9,GBP,Male,Joel Miah,RYE HARBOUR,Rother,Rother,TN31 6YD,United Kingdom,Europe,1947-03-24,78,65+,Fabrikam Coffee Maker Auto 5C E090 Black,Fabrikam,Black,$83.10 ,163.0,805,Coffee Machines,8,Home Appliances,1,4825,355,6,1,0
369004,1,2016-01-04,,1389462,65,1961,5,USD,Male,Gary Quiles,Ann Arbor,MI,Michigan,48104,United States,North America,2001-05-17,24,18-25,Litware Refrigerator 3.2CuFt E160 Green,Litware,Green,$142.75 ,279.99,802,Refrigerators,8,Home Appliances,1,211,246,7,2,2
369004,2,2016-01-04,,1389462,65,1991,3,USD,Male,Gary Quiles,Ann Arbor,MI,Michigan,48104,United States,North America,2001-05-17,24,18-25,Fabrikam Microwave 1.6CuFt M1250 Silver,Fabrikam,Silver,$82.77 ,179.99,803,Microwaves,8,Home Appliances,1,211,246,7,2,2
369007,2,2016-01-04,,571622,20,2103,1,EUR,Male,Sven Schulze,Birkenwerder,BB,Brandenburg,16547,Germany,Europe,1986-02-08,39,36-45,Contoso Water Heater 2.6GPM E0900 Silver,Contoso,Silver,$258.99 ,508.0,804,Water Heaters,8,Home Appliances,1,776,51,3,1,0
370008,1,2016-01-05,,183264,4,2105,1,AUD,Male,Thomas Luscombe,GAGEBROOK,TAS,Tasmania,7030,Australia,Australia,1964-01-20,61,56-65,Contoso Water Heater 7.2GPM X1800 Grey,Contoso,Grey,$488.70 ,1475.0,804,Water Heaters,8,Home Appliances,1,2205,415,0,0,0
370010,2,2016-01-05,,1393738,48,2113,10,USD,Male,Jose Cline,Boise,ID,Idaho,83702,United States,North America,1982-08-02,43,36-45,Contoso Water Heater 2.6GPM E0900 Red,Contoso,Red,$258.99 ,508.0,804,Water Heaters,8,Home Appliances,1,814,189,7,2,2
370010,3,2016-01-05,,1393738,48,2088,2,USD,Male,Jose Cline,Boise,ID,Idaho,83702,United States,North America,1982-08-02,43,36-45,Contoso Water Heater 2.6GPM E0900 White,Contoso,White,$258.99 ,508.0,804,Water Heaters,8,Home Appliances,1,814,189,7,2,2
370014,2,2016-01-05,,1475886,51,2110,1,USD,Male,Michael Tapia,Bensenville,IL,Illinois,60106,United States,North America,1954-03-06,71,65+,Contoso Water Heater 7.2GPM X1800 Red,Contoso,Red,$488.70 ,1475.0,804,Water Heaters,8,Home Appliances,1,697,190,7,2,1
371002,2,2016-01-06,,1955971,53,2171,3,USD,Male,Desimir Stanic,New York,NY,New York,10016,United States,North America,2001-10-25,24,18-25,Fabrikam Coffee Maker Auto 10C M100 Silver,Fabrikam,Silver,$343.05 ,745.99,805,Coffee Machines,8,Home Appliances,1,4144,271,7,2,2
