Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Gender,Name,City,State Code,State,Zip Code,Country,Continent,Birthday,Age,AgeGroup,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category,Gender_enc,City_enc,State_enc,Country_enc,Continent_enc,Cluster
366004,1,2016-01-01,,1107461,38,163,6,GBP,Male,Sam Nelson,BURSCOUGH BRIDGE,West Lancashire,West Lancashire,L40 8UX,United Kingdom,Europe,1979-11-28,46,46-55,"Adventure Works 52"" LCD HDTV X790W White",Adventure Works,White,$527.53 ,1592.2,201,Televisions,2,TV and Video,1,548,463,6,1,0
366011,1,2016-01-01,,1984985,66,128,7,USD,Male,Mike Mogensen,Chicago,IL,Illinois,60605,United States,North America,1937-06-10,88,65+,"Adventure Works 19"" Color Digital TV E35 Brown",Adventure Works,Brown,$73.11 ,143.4,201,Televisions,2,TV and Video,1,1377,190,7,2,0
366014,1,2016-01-01,1/6/2016,738549,0,123,1,EUR,Female,Clara Toscani,Pollone,BI,Biella,13814,Italy,Europe,1998-12-25,27,26-35,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Black,$128.76 ,279.99,201,Televisions,2,TV and Video,0,4653,41,4,1,1
367003,1,2016-01-02,,980164,40,153,2,GBP,Female,Evie Gardiner,GRAVELEY,North Hertfordshire,North Hertfordshire,SG4 6QP,United Kingdom,Europe,1987-06-02,38,36-45,"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Silver,$216.12 ,469.97,201,Televisions,2,TV and Video,0,2283,288,6,1,1
367004,1,2016-01-02,,1853699,56,136,1,USD,Female,Young Hudson,Chandler,OK,Oklahoma,74834,United States,North America,1956-08-17,69,65+,"Adventure Works 20"" LCD HDTV M120 Brown",Adventure Works,Brown,$160.93 ,349.95,201,Televisions,2,TV and Video,0,1352,304,7,2,2
367005,2,2016-01-02,1/10/2016,758280,0,319,2,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,32,26-35,SV Car Video LCD9.2W X9281 Silver,Southridge Video,Silver,$287.92 ,869.0,205,Car Video,2,TV and Video,1,5858,159,4,1,1
367012,2,2016-01-02,,209990,9,145,3,CAD,Male,Brandon Loyd,Norwich,ON,Ontario,N0J 1P0,Canada,North America,1975-12-23,50,46-55,"Adventure Works 52"" LCD HDTV X590 Silver",Adventure Works,Silver,$960.82 ,2899.99,201,Televisions,2,TV and Video,1,4225,305,1,2,1
367016,3,2016-01-02,,1633409,63,206,3,USD,Male,Paul Burt,Dearborn,MI,Michigan,48126,United States,North America,1942-01-04,83,65+,Litware Home Theater System 5.1 Channel M515 Black,Litware,Black,$261.66 ,569.0,203,Home Theater System,2,TV and Video,1,1641,246,7,2,2
367024,1,2016-01-02,,1713253,50,302,8,USD,Male,Tom David,Gainesville,FL,Florida,32601,United States,North America,1989-06-09,36,36-45,SV Car Video LCD9.2W X9280 Black,Southridge Video,Black,$330.99 ,999.0,205,Car Video,2,TV and Video,1,2317,145,7,2,0
367031,1,2016-01-02,1/7/2016,909014,0,120,3,GBP,Female,Tegan Macdonald,WESTON UNDER PENYARD,Hereford,Hereford,HR9 6LU,United Kingdom,Europe,1954-10-19,71,65+,"Adventure Works 13"" Color TV E25 Black",Adventure Works,Black,$61.17 ,119.99,201,Televisions,2,TV and Video,0,6205,183,6,1,1
367031,4,2016-01-02,1/7/2016,909014,0,132,1,GBP,Female,Tegan Macdonald,WESTON UNDER PENYARD,Hereford,Hereford,HR9 6LU,United Kingdom,Europe,1954-10-19,71,65+,"Adventure Works 20"" Analog CRT TV E45 Brown",Adventure Works,Brown,$101.97 ,200.0,201,Televisions,2,TV and Video,0,6205,183,6,1,1
369000,2,2016-01-04,,1143828,37,167,1,GBP,Male,Joel Miah,RYE HARBOUR,Rother,Rother,TN31 6YD,United Kingdom,Europe,1947-03-24,78,65+,SV 8xDVD E100 Black,Southridge Video,Black,$35.18 ,69.0,202,VCD & DVD,2,TV and Video,1,4825,355,6,1,1
369005,1,2016-01-04,,1866637,56,183,3,USD,Male,Douglas McCampbell,Toledo,OH,Ohio,43609,United States,North America,1964-12-01,61,56-65,SV 16xDVD M330 Silver,Southridge Video,Silver,$50.13 ,109.0,202,VCD & DVD,2,TV and Video,1,5905,303,7,2,2
370007,1,2016-01-05,,623659,15,267,1,EUR,Female,Kari LaGrande,HOUILLES,IL,Île-de-France,78800,France,Europe,1979-08-12,46,46-55,Contoso Home Theater System 2.1 Channel M1210 White,Contoso,White,$167.73 ,329.0,203,Home Theater System,2,TV and Video,0,2581,490,2,1,1
370007,2,2016-01-05,,623659,15,126,7,EUR,Female,Kari LaGrande,HOUILLES,IL,Île-de-France,78800,France,Europe,1979-08-12,46,46-55,"Adventure Works 19"" Color Digital TV E35 Black",Adventure Works,Black,$73.11 ,143.4,201,Televisions,2,TV and Video,0,2581,490,2,1,1
371003,2,2016-01-06,,778259,28,127,2,EUR,Female,Gina Russo,Borsano,VA,Varese,21052,Italy,Europe,1960-05-26,65,65+,"Adventure Works 19"" Color Digital TV E35 White",Adventure Works,White,$73.11 ,143.4,201,Televisions,2,TV and Video,0,841,439,4,1,1
